Record Length,Analog:70000
Sample Interval,CH1:0.0000004000000 CH2:0.0000004000000
Vertical Units,CH1:V CH2:V,,,
Vertical Scale,CH1:1.00 CH2:1.00,,,
Vertical Offset,CH1:0.00 CH2:0.00,,,
Horizontal Units,us,,,
Horizontal Scale,2000.0000000000,,,
Model Number,T3DSO1102 ,,,
Serial Number,T0101C21230350,,,
Software Version,1.3.26,,,
Source,CH1,CH2
Second,Volt,Volt
 0.00000000000,-2.52000,0.04000
 0.00000040000,-2.48000,0.04000
 0.00000080000,-2.44000,0.04000
 0.00000120000,-2.48000,0.00
 0.00000160000,-2.48000,0.08000
 0.00000200000,-2.48000,0.08000
 0.00000240000,-2.48000,0.04000
 0.00000280000,-2.48000,0.04000
 0.00000320000,-2.48000,0.04000
 0.00000360000,-2.52000,0.04000
 0.00000400000,-2.48000,0.04000
 0.00000440000,-2.52000,0.00
 0.00000480000,-2.52000,0.04000
 0.00000520000,-2.48000,0.08000
 0.00000560000,-2.52000,0.04000
 0.00000600000,-2.44000,0.08000
 0.00000640000,-2.52000,0.04000
 0.00000680000,-2.48000,0.04000
 0.00000720000,-2.48000,0.04000
 0.00000760000,-2.44000,0.04000
 0.00000800000,-2.48000,0.08000
 0.00000840000,-2.48000,0.00
 0.00000880000,-2.48000,0.04000
 0.00000920000,-2.44000,0.00
 0.00000960000,-2.48000,0.04000
 0.00001000000,-2.52000,0.04000
 0.00001040000,-2.48000,0.04000
 0.00001080000,-2.48000,0.08000
 0.00001120000,-2.48000,0.00
 0.00001160000,-2.48000,0.04000
 0.00001200000,-2.48000,0.04000
 0.00001240000,-2.48000,0.04000
 0.00001280000,-2.48000,0.04000
 0.00001320000,-2.48000,0.00
 0.00001360000,-2.48000,0.04000
 0.00001400000,-2.48000,0.08000
 0.00001440000,-2.48000,0.04000
 0.00001480000,-2.52000,0.04000
 0.00001520000,-2.48000,0.04000
 0.00001560000,-2.44000,0.04000
 0.00001600000,-2.48000,0.04000
 0.00001640000,-2.48000,0.00
 0.00001680000,-2.52000,0.04000
 0.00001720000,-2.48000,0.00
 0.00001760000,-2.52000,0.04000
 0.00001800000,-2.48000,0.04000
 0.00001840000,-2.44000,0.00
 0.00001880000,-2.48000,0.04000
 0.00001920000,-2.52000,0.04000
 0.00001960000,-2.44000,0.04000
 0.00002000000,-2.48000,0.04000
 0.00002040000,-2.52000,0.00
 0.00002080000,-2.52000,0.04000
 0.00002120000,-2.48000,0.04000
 0.00002160000,-2.48000,0.00
 0.00002200000,-2.48000,0.00
 0.00002240000,-2.48000,0.08000
 0.00002280000,-2.48000,0.00
 0.00002320000,-2.44000,0.04000
 0.00002360000,-2.44000,0.04000
 0.00002400000,-2.48000,0.04000
 0.00002440000,-2.48000,0.04000
 0.00002480000,-2.48000,0.08000
 0.00002520000,-2.48000,0.00
 0.00002560000,-2.48000,0.04000
 0.00002600000,-2.48000,0.04000
 0.00002640000,-2.48000,0.04000
 0.00002680000,-2.48000,0.04000
 0.00002720000,-2.44000,0.08000
 0.00002760000,-2.48000,0.08000
 0.00002800000,-2.52000,0.04000
 0.00002840000,-2.48000,0.04000
 0.00002880000,-2.52000,0.04000
 0.00002920000,-2.48000,0.04000
 0.00002960000,-2.48000,0.00
 0.00003000000,-2.48000,0.04000
 0.00003040000,-2.48000,0.04000
 0.00003080000,-2.52000,0.04000
 0.00003120000,-2.48000,0.04000
 0.00003160000,-2.48000,0.04000
 0.00003200000,-2.48000,0.04000
 0.00003240000,-2.48000,0.04000
 0.00003280000,-2.48000,0.04000
 0.00003320000,-2.48000,0.04000
 0.00003360000,-2.48000,0.04000
 0.00003400000,-2.48000,0.04000
 0.00003440000,-2.48000,0.04000
 0.00003480000,-2.48000,0.04000
 0.00003520000,-2.52000,0.04000
 0.00003560000,-2.48000,0.08000
 0.00003600000,-2.48000,0.04000
 0.00003640000,-2.48000,0.00
 0.00003680000,-2.48000,0.04000
 0.00003720000,-2.48000,0.04000
 0.00003760000,-2.48000,0.04000
 0.00003800000,-2.52000,0.04000
 0.00003840000,-2.48000,0.04000
 0.00003880000,-2.48000,0.04000
 0.00003920000,-2.44000,0.04000
 0.00003960000,-2.48000,0.04000
 0.00004000000,-2.48000,0.00
 0.00004040000,-2.48000,0.04000
 0.00004080000,-2.48000,0.08000
 0.00004120000,-2.48000,0.08000
 0.00004160000,-2.48000,0.00
 0.00004200000,-2.48000,0.04000
 0.00004240000,-2.48000,0.04000
 0.00004280000,-2.48000,0.04000
